id_correlativo,codigo_vendedor,codigo_producto,razon
7209.0,AP,,venta no encontrada
7209.0,AP,,venta no encontrada
7209.0,AP,,venta no encontrada
7737.0,AP,,venta no encontrada
7781.0,AP,,venta no encontrada
7809.0,AP,,venta no encontrada
7822.0,AP,,venta no encontrada
7733.0,AP,,venta no encontrada
7892.0,AP,,venta no encontrada
7975.0,AP,,venta no encontrada
7976.0,AP,,venta no encontrada
7929.0,AP,CV,almacen no encontrado
7929.0,AP,INB,almacen no encontrado
7929.0,AP,INR,almacen no encontrado
7929.0,AP,NO,almacen no encontrado
7929.0,AP,OMI,almacen no encontrado
7929.0,AP,K3,almacen no encontrado
7929.0,AP,K6,almacen no encontrado
7929.0,AP,AMC,almacen no encontrado
7929.0,AP,CTM,almacen no encontrado
7929.0,AP,CTP,almacen no encontrado
7929.0,AP,AZ3,almacen no encontrado
7929.0,AP,IV,almacen no encontrado
7929.0,AP,MNT,almacen no encontrado
7929.0,AP,N,almacen no encontrado
7929.0,AP,AG,almacen no encontrado
7929.0,AP,AP1,almacen no encontrado
7929.0,AP,AP2,almacen no encontrado
7929.0,AP,C2,almacen no encontrado
7929.0,AP,MNTJ,almacen no encontrado
7929.0,AP,R,almacen no encontrado
7929.0,AP,VS,almacen no encontrado
7929.0,AP,FDS,almacen no encontrado
7929.0,AP,PRIS,almacen no encontrado
7929.0,AP,TRS,almacen no encontrado
7929.0,AP,BA-PA,almacen no encontrado
7929.0,AP,BH-100,almacen no encontrado
7929.0,AP,CAL,almacen no encontrado
7929.0,AP,CUB24,almacen no encontrado
7929.0,AP,SAB CAN 3,almacen no encontrado
7929.0,AP,FS,almacen no encontrado
8023.0,AP,,venta no encontrada
8037.0,AP,,venta no encontrada
8039.0,AP,,venta no encontrada
8048.0,AP,,venta no encontrada
8019.0,AP,,venta no encontrada
8070.0,AP,,venta no encontrada
8095.0,AP,,venta no encontrada
8099.0,AP,,venta no encontrada
8139.0,AP,,venta no encontrada
8002.0,AP,,venta no encontrada
8003.0,AP,,venta no encontrada
8185.0,AP,,venta no encontrada
8143.0,AP,,venta no encontrada
8063.0,AP,,venta no encontrada
8176.0,AP,,venta no encontrada
8219.0,AP,,venta no encontrada
8220.0,AP,,venta no encontrada
8239.0,AP,,venta no encontrada
8283.0,AP,,venta no encontrada
8288.0,AP,,venta no encontrada
8280.0,AP,,venta no encontrada
8404.0,AP,,venta no encontrada
8372.0,AP,,venta no encontrada
8373.0,AP,,venta no encontrada
8396.0,AP,,venta no encontrada
8400.0,AP,,venta no encontrada
8395.0,AP,,venta no encontrada
8394.0,AP,,venta no encontrada
8479.0,AP,,venta no encontrada
8480.0,AP,,venta no encontrada
8379.0,AP,,venta no encontrada
8543.0,AP,,venta no encontrada
8540.0,AP,,venta no encontrada
7903.0,AP,,venta no encontrada
8316.0,AP,,venta no encontrada
8538.0,AP,,venta no encontrada
8598.0,AP,,venta no encontrada
8031.0,AP,,venta no encontrada
8032.0,AP,,venta no encontrada
8328.0,AP,,venta no encontrada
8596.0,AP,,venta no encontrada
8616.0,AP,,venta no encontrada
8638.0,AP,,venta no encontrada
8762.0,AP,,venta no encontrada
8777.0,AP,,venta no encontrada
8784.0,AP,,venta no encontrada
8764.0,AP,,venta no encontrada
8742.0,AP,,venta no encontrada
8743.0,AP,,venta no encontrada
8747.0,AP,,venta no encontrada
8749.0,AP,,venta no encontrada
8750.0,AP,,venta no encontrada
8730.0,AP,,venta no encontrada
8774.0,AP,,venta no encontrada
8791.0,AP,,venta no encontrada
8797.0,AP,,venta no encontrada
8801.0,AP,,venta no encontrada
8622.0,AP,,venta no encontrada
8827.0,AP,,venta no encontrada
8817.0,AP,,venta no encontrada
8642.0,AP,,venta no encontrada
8882.0,AP,,venta no encontrada
8895.0,AP,,venta no encontrada
8935.0,AP,,venta no encontrada
8953.0,AP,,venta no encontrada
8972.0,AP,,venta no encontrada
8563.0,AP,,venta no encontrada
8570.0,AP,,venta no encontrada
8581.0,AP,,venta no encontrada
8833.0,AP,,venta no encontrada
8836.0,AP,,venta no encontrada
8856.0,AP,,venta no encontrada
8885.0,AP,,venta no encontrada
9041.0,AP,,venta no encontrada
9608.0,AP,,venta no encontrada
9608.0,AP,,venta no encontrada
9608.0,AP,,venta no encontrada
